Synonym,Root Canonical Name
Sticta aurigera,Pseudocyphellaria crocata
Crocodia aurata,Pseudocyphellaria crocata
Stictina crocata,Pseudocyphellaria crocata
Pseudocyphellaria aurata,Pseudocyphellaria crocata
Celidium keisslerianum,Pseudocyphellaria crocata
Agaricus epipterygius,Mycena epipterygia
Agaricus flavipes,Mycena epipterygia
Agaricus nutans,Mycena epipterygia
Agaricus citrinellus,Mycena epipterygia
Mycena epipterygia var. epipterygia,Mycena epipterygia
Mycena epipterygia � nutans,Mycena epipterygia
Mycena flavipes,Mycena renati
Agaricus citrinellus var. candidus,Mycena epipterygia
Agaricus plicatocrenatus,Mycena epipterygia
Mycena citrinella,Mycena epipterygia
Mycena citrinella var. candida,Mycena epipterygia
Mycena plicatocrenata,Mycena epipterygia
Mycena viscosa,Mycena epipterygia
Mycena splendidipes,Mycena epipterygia
Mycena epipterygia var. viscosa,Mycena epipterygia
Mycena epipterygia var. lignicola,Mycena epipterygia
Mycena epipterygia var. badiceps,Mycena epipterygia
Mycena epipterygia var. rubescens,Mycena epipterygia
Mycena epipterygia var. splendidipes,Mycena epipterygia
Spicellum roseum,Trichothecium sympodiale
Phoma sanguinolenta,Plenodomus libanotidis
Hydnum ochraceum,Steccherinum ochraceum
Hydnum denticulatum,Mycoaciella bispora
Hydnum pudorinum,Steccherinum ochraceum
Acia denticulata,Mycoaciella bispora
Mycoleptodon ochraceus,Steccherinum ochraceum
Exoascus pruni,Taphrina pruni
Exoascus insititiae,Taphrina pruni
Taphrina insititiae,Taphrina pruni
Ascomyces pruni,Taphrina pruni
Myxomycota,Myxogastrea
Conocybe tenera var. aurea,Conocybe aurea
Galera aurea,Conocybe aurea
Peziza humuli,Hymenoscyphus humuli
Helotium humuli,Hymenoscyphus humuli
Calycella humuli,Hymenoscyphus humuli
Lichen sophodes,Rinodina sophodes
Lecanora sophodes,Rinodina sophodes
Agaricus curtisii,Pluteus cervinus
Keratinomyces ajelloi,Arthroderma uncinatum
Diderma contextum,Physarum contextum
Trichophyton dankaliense,Arachniotus dankaliensis
Gymnascella dankaliensis,Arachniotus dankaliensis
Acrocordia monensis,Collemopsidium monense
Arthopyrenia monensis,Collemopsidium monense
Pyrenocollema monense,Collemopsidium monense
Vermicularia carica,Amerosporium caricum
Physcia laciniatula,Melanohalea laciniatula
Parmelia laciniatula,Melanohalea laciniatula
Melanelia laciniatula,Melanohalea laciniatula
Trametes malicola,Antrodia malicola
Parmelia exasperatula,Melanohalea exasperatula
Melanelia exasperatula,Melanohalea exasperatula
Flammula pinicola,Pholiota pinicola
Boletus paradoxus,Phylloporus pelletieri
Phylloporus rhodoxanthus,Phylloporus pelletieri
Agaricus pelletieri,Phylloporus pelletieri
Agaricus paradoxus,Phylloporus pelletieri
Clitocybe pelletieri,Phylloporus pelletieri
Paxillus paradoxus,Phylloporus pelletieri
Flammula paradoxa,Phylloporus pelletieri
Phylloporus paradoxus,Phylloporus pelletieri
Phylloporus rhodoxanthus subsp. europaeus,Phylloporus pelletieri
Rhizophydium dicksonii,Eurychasma dicksonii
Lecidea saxatilis,Dactylospora saxatilis
Calicium saxatile,Dactylospora saxatilis
Buellia saxatilis,Dactylospora saxatilis
Karschia saxatilis,Dactylospora saxatilis
Russula atrorubens,Russula laccata
Russula norvegica,Russula laccata
Collema subfurvum,Collema subflaccidum
Dichomyces furcifer,Peyritschiella furcifera
Cladonia foliacea var. endiviifolia,Cladonia convoluta
Lichen convolutus,Cladonia convoluta
Lichen endiviifolius,Cladonia convoluta
Cladonia foliacea var. convoluta,Cladonia convoluta
Cladonia endiviifolia,Cladonia convoluta
Cladosporium werneckii,Hortaea werneckii
Exophiala werneckii,Hortaea werneckii
Uleomyces quercus-ilicis,Elsinoe quercus-ilicis
Sphaceloma quercus-ilicis,Elsinoe quercus-ilicis
Boletus fuliginosus,Ischnoderma resinosum
Boletus resinosus,Ischnoderma resinosum
Polyporus resinosus,Ischnoderma resinosum
Polyporus fuliginosus,Ischnoderma resinosum
Sphaerella ditricha,Venturia ditricha
Sphaeria ditricha,Venturia ditricha
Agaricus aspideus,Lactarius flavidus
Coprinus micaceus,Coprinellus micaceus
Agaricus truncorum,Coprinellus truncorum
Coprinus truncorum,Coprinellus truncorum
Lichen cerinus,Caloplaca cerina var. cerina
Patellaria cerina,Caloplaca cerina var. cerina
Parmelia cerina,Caloplaca cerina var. cerina
Patellaria cerina var. cyanolepra,Caloplaca cerina var. cerina
Lecanora cerina,Caloplaca cerina var. cerina
Rinodina cerina,Caloplaca cerina var. cerina
Callopisma cerinum,Caloplaca cerina var. cerina
Zeora cerina,Caloplaca cerina var. cerina
Placodium cerinum,Caloplaca cerina var. cerina
Callopisma cerinum var. cyanoleprum,Caloplaca cerina var. cerina
Caloplaca cerina var. cyanolepra,Caloplaca cerina var. cerina
Agaricus prasinus,Cortinarius prasinus
Sphaeria funicola,Nectria funicola
Nectria fibricola,Nectria funicola
Dialonectria fibricola,Nectria funicola
Nectriella funicola,Nectria funicola
Pyrenochaeta cf. terrestris,Pyrenochaeta
Ascochytula ulicis,Ascochyta ulicis
Arthothelium ilicinum var. dictyosporum,Arthothelium dictyosporum
Lophiosphaera angustilabra,Lophiostoma angustilabrum var. angustilabrum
