Synonym,Root Canonical Name
Bombardia coprophila,Cercophora coprophila
Lasiosordaria coprophila,Cercophora coprophila
Imimyces pseudobambusae,Sporidesmium pseudobambusae
Boletus expansus,Donkioporia expansa
Polyporus megaloporus,Donkioporia expansa
Poria megalopora,Donkioporia expansa
Phellinus megaloporus,Donkioporia expansa
Endococcus opulentus,Lichenothelia renobalesiana
Basidiodendron cf. caesiocinereum,Basidiodendron
Basidiodendron cf. cinereum,Basidiodendron
Basidiodendron cf. eyrei,Basidiodendron
Basidiodendron cf. nodosum,Basidiodendron
Basidiodendron cf. pini,Basidiodendron
Basidiodendron cf. spinosum,Basidiodendron
Orbilia cf. acuum,Orbilia
Orbilia cf. alnea,Orbilia
Orbilia cf. arundinacea,Orbilia
Orbilia cf. auricolor,Orbilia
Orbilia cf. calloriopsis,Orbilia
Orbilia cf. coccinella,Orbilia
Orbilia cf. crenato-marginata,Orbilia
Orbilia cf. cyathea,Orbilia
Orbilia cf. delicatula,Orbilia
Orbilia cf. eucalypti,Orbilia
Orbilia cf. gaillardii,Orbilia
Orbilia cf. inflatula,Orbilia
Orbilia cf. occulta,Orbilia
Orbilia cf. rectispora,Orbilia
Orbilia cf. tenuissima,Orbilia
Orbilia cf. viscosa,Orbilia
Orbilia inflatula agg.,Orbilia
Phyllophiale alba,Lepraria alba
Porina alba,Lepraria alba
Agaricus coruscans,Cortinarius coruscans
Sphaeria capitata,Cordyceps capitata
Torrubia capitata,Cordyceps capitata
Pythium undulatum,Elongisporangium undulatum
Phytophthora undulata,Elongisporangium undulatum
Agaricus parabolicus,Mycena parabolica
Psalliota sagata,Agaricus sagatus
Phallus monachella,Helvella monachella
Agaricus glaucopus,Cortinarius amoenolens
Cortinarius glaucopus var. glaucopus,Cortinarius amoenolens
Sporormia schotteriana,Pyxidiophora schotteriana
Sphaeria pusilla,Zigno�lla seriata
Bilimbia tornensis,Stereocaulon tornense
Polyscytalum fungorum,Chalara brefeldii
Melanconis ambigua,Sydowiella ambigua
Lepiota brunnea,Chlorophyllum brunneum
Lepiota rhacodes var. hortensis,Chlorophyllum brunneum
Lepiota bohemica,Chlorophyllum brunneum
Macrolepiota rhacodes var. hortensis,Chlorophyllum brunneum
Macrolepiota rhacodes var. bohemica,Chlorophyllum brunneum
Macrolepiota brunnea,Chlorophyllum brunneum
Mucor pomiformis,Arcyria pomiformis
Arcyria albida var. pomiformis,Arcyria pomiformis
Phymatotrichum omnivorum,Phymatotrichopsis omnivora
Lysurus gardneri,Lysurus cruciatus
Aserophallus cruciatus,Lysurus cruciatus
Lysurus australiensis,Lysurus cruciatus
Merisma,Thelephora
Racemella memorabilis,Cordyceps memorabilis
Delacourea samarae,Pleospora herbarum
Pleospora herbarum var. cichorii,Pleospora herbarum
Pleospora herbarum var. glumarum,Pleospora herbarum
Pleospora herbarum var. iridia,Pleospora herbarum
Pleospora herbarum var. pisi,Pleospora herbarum
Sphaeria asparagi,Pleospora herbarum
Sphaeria samarae,Pleospora herbarum
Sphaeria herbarum,Pleospora herbarum
Sphaeria pisi,Pleospora herbarum
Sphaeria leguminum,Pleospora herbarum
Macrosporium sarcinula,Pleospora herbarum
Sphaeria armeriae,Pleospora herbarum
Pleospora asparagi,Pleospora herbarum
Pleospora leguminum,Pleospora herbarum
Pleospora armeriae,Pleospora herbarum
Pleospora herbarum var. herbarum,Pleospora herbarum
Pleospora salsolae,Pleospora herbarum
Macrosporium commune,Pleospora herbarum
Pleospora euonymi,Pleospora herbarum
Pleospora pisi,Pleospora herbarum
Pleospora samarae,Pleospora herbarum
Stemphylium botryosum,Pleospora herbarum
Pleospora gymnocladi,Pleospora herbarum
Sphaeria denotata,Pleospora herbarum
Pleospora denotata,Pleospora herbarum
Pleospora herbarum f. armeriae,Pleospora herbarum
Pleospora meliloti,Pleospora herbarum
Pleospora herbarum var. armeriae,Pleospora herbarum
Stemphylium herbarum,Pleospora herbarum
Sphaerospora trechispora var. paludicola,Peziza paludicola
Ciliaria trechispora var. paludicola,Peziza paludicola
Aleuria paludicola,Peziza paludicola
Scutellinia paludicola,Peziza paludicola
Scutellinia trechispora var. paludicola,Peziza paludicola
Creopus cf. gelatinosus,Hypocrea
Hypocrea cf. argillacea,Hypocrea
Hypocrea cf. citrina,Hypocrea
Hypocrea cf. gelatinosa,Hypocrea
Creopus,Hypocrea
Chromocrea,Hypocrea
Helotium cortisedum,Hymenoscyphus cortisedus
Helotium uliginosum var. cortisedum,Hymenoscyphus cortisedus
Agaricus leightonii,Hohenbuehelia leightonii
Pleurotus leightonii,Hohenbuehelia leightonii
Resupinatus leightonii,Hohenbuehelia leightonii
Agaricus citrinus,Amanita citrina var. citrina
Agaricus mappa,Amanita citrina var. citrina
Amanita citrina var. mappalis,Amanita citrina var. citrina
Amanita mappa,Amanita citrina var. citrina
Amanita mappa var. citrina,Amanita citrina var. citrina
Oospora dulcita,Trichosporon dulcitum
Russula decolorans var. obscura,Russula vinosa
Russula obscura,Russula vinosa
Sphaeria alnifraga,Eutypella alnifraga
Ombrophila verna,Phaeohelotium vernum
Helotium vernale,Phaeohelotium vernum
Hymenoscyphus vernus,Phaeohelotium vernum
Actinoscypha graminis,Micropeziza karstenii
Sphaeria tumulosa,Anthostomella tumulosa
Pyrenula verrucosa,Polyblastia verrucosa
Clavaria flavobrunnescens,Ramaria aurea
Sphaeria mori,Neonectria coccinea
Sphaeria coccinea,Neonectria coccinea
Cucurbitaria coccinea,Neonectria coccinea
Nectria coccinea,Neonectria coccinea
Agaricus caprinus,Hygrophorus camarophyllus
Agaricus camarophyllus,Hygrophorus camarophyllus
Hygrophorus caprinus,Hygrophorus camarophyllus
Agaricus lividus var. roseus,Entoloma lividum var. roseum
Didymosphaeria genistae,Arnaudiella genistae
Splanchnonema cf. loricatum,Splanchnonema
Puccinia cochleariae,Puccinia eutremae
Helicobasidium cf. longisporum,Helicobasidium
Thanatophytum,Helicobasidium
Bisporomyces lignicola,Chloridium lignicola
Fleischhakia rhizinoides,Pachyella rhizinoides
Diachea cerifera,Elaeomyxa cerifera
Aecidium leucospermum,Tranzschelia anemones
Uredo ariae,Ochropsora ariae
Caeoma leucospermum,Ochropsora ariae
Melampsora ariae,Ochropsora ariae
Caeoma sorbi,Ochropsora ariae
Endophyllum leucospermum,Ochropsora ariae
Ochropsora sorbi,Ochropsora ariae
Lophium eriophori,Lophodermium eriophori
Spiloma nigrum f. erubescens,Spiloma nigrum
Spiloma nigrum f. variolosum,Spiloma nigrum
Spiloma nigrum f. versicola,Spiloma nigrum
Laeticutis,Albatrellus
Lecidea atomarioides,Catillaria atomarioides
Gloeocystidiellum cf. luridum,Gloeocystidiellum
Gloeocystidiellum cf. porosum,Gloeocystidiellum
Protosteliales,Protostelida
Agaricus ravidus,Conocybe velata
Corticium echinosporum,Tomentellopsis echinospora
Hypochnus echinosporus,Tomentellopsis echinospora
Tomentella echinospora,Tomentellopsis echinospora
Androsaceus buxi,Marasmius buxi
Cortinarius crassus,Cortinarius variicolor
Amphiloma granulosum,Flavoplaca granulosa
Placodium granulosum,Polycauliona verruculifera
Caloplaca granulosa,Polycauliona verruculifera
Peziza hydrophora,Lycoperdon hydrophorum
Lamprospora crechqueraultii var. paludosa,Oviascoma paludosum
Russula alpina,Russula nana
Ceratorhiza anacalospora,Ceratobasidium calosporum
Aleuria megalochondra,Peziza megalochondra
Sphaeria aucupariae,Venturia aucupariae
Peziza aucupariae,Tympanis aucupariae
Trichothyrina cupularum,Lichenopeltella cupularum
Sphaeria rhamni,Cucurbitaria rhamni
Agaricus mutilus,Omphalina mutila
Pleurotus mutilus,Clitopilus scyphoides var. scyphoides
Omphalia mutila,Omphalina mutila
Pleurotellus mutilus,Omphalina mutila
Omphalina josserandii,Omphalina mutila
Gloeosporium lindemuthianum,Colletotrichum lindemuthianum
Polycoccum opulentum,Lichenothelia renobalesiana
Agaricus glareosa,Psathyra glareosa
Agaricus arvensis var. villaticus,Agaricus villaticus
Acrospeira levis,Monodictys levis
Microthyrium microscopicum f. macrosporum,Microthyrium macrosporum
Microthyrium microscopicum var. macrosporum,Microthyrium macrosporum
Penicillium javanicum,Eupenicillium javanicum
Carpenteles javanicum,Eupenicillium javanicum
Sporormia octomera,Preussia octomera
Sporormiella octomera,Preussia octomera
Marasmius semiustus,Collybia semiusta
Peziza albospadicea,Trichophaea albospadicea
Lachnea albospadicea,Trichophaea albospadicea
Licea effusa,Lindbladia tubulina
Lindbladia effusa,Lindbladia tubulina
Discocera,Trapelia
Agaricus roseoalbus,Pluteus roseoalbus
Agaricus palmatus,Rhodotus palmatus
Pleuropus palmatus,Rhodotus palmatus
Pleuropus palmatus � rubescens,Rhodotus palmatus
Agaricus subpalmatus,Rhodotus palmatus
Crepidotus palmatus,Rhodotus palmatus
Pleurotus subpalmatus,Rhodotus palmatus
Entoloma cookei,Rhodotus palmatus
Pleurotus palmatus,Rhodotus palmatus
Agaricus phlebophorus var. reticulatus,Rhodotus palmatus
Poronia leporina,Podosordaria leporina
Diaporthe veneta,Apiognomonia veneta
Laestadia veneta,Apiognomonia veneta
Sphaerella veneta,Apiognomonia veneta
Gnomonia veneta,Apiognomonia veneta
Tomentella bourdotii,Tomentella lilacinogrisea
Tomentella neobourdotii,Tomentella lilacinogrisea
Segestria barbara,Sagediopsis barbara
Agaricus psathyroides,Collybia psathyroides
Scopuloides cf. hydnoides,Scopuloides
Scopuloides cf. rimosa,Scopuloides
Lentomita acuum,Klasterskya acuum
Gnomonia needhamii,Klasterskya acuum
Tricholoma lilaceum,Lepista nuda
Tricholoma nudum var. lilaceum,Lepista nuda
Tricholoma sordidum var. lilaceum,Lepista nuda
Agaricus nudus,Lepista nuda
Agaricus bulbosus,Cortinarius bulbosus
Agaricus bicolor,Lepista nuda
Cortinarius bicolor,Cortinarius cagei
Cortinarius nudus,Lepista nuda
Tricholoma nudum,Lepista nuda
Tricholoma nudum var. majus,Lepista nuda
Agaricus nudus var. majus,Lepista nuda
Gyrophila nuda,Lepista nuda
Rhodopaxillus nudus,Lepista nuda
Rhodopaxillus nudus var. pruinosus,Lepista nuda
Lepista nuda var. pruinosa,Lepista nuda
Lepista nuda f. gracilis,Lepista nuda
Didymium farinaceum var. minus,Didymium minus
Didymium melanospermum var. minus,Didymium minus
Ceriosporopsis hamata,Remispora hamata
Halosphaeria hamata,Remispora hamata
Lichen heteromallus,Pilonema heteromalla
Cornicularia heteromalla,Pilonema heteromalla
Pleospora cf. discors,Pleospora
Pleospora cf. herbarum,Pleospora
Pleospora cf. media,Pleospora
Pleospora cf. phaeocomoides,Pleospora
Pleospora cf. raetica,Pleospora
Pleospora cf. scirpicola,Pleospora
Sphaeria pedunculata,Podosordaria pedunculata
Xylaria pedunculata,Podosordaria pedunculata
Xylaria vaporaria,Podosordaria pedunculata
Opegrapha siderella,Pseudoschismatomma rufescens
Opegrapha vulgata var. siderella,Opegrapha niveoatra
Pyrenotea lutea,Opegrapha vulgata
Lichen vulgatus,Opegrapha vulgata
Opegrapha vulgata var. vulgata,Opegrapha vulgata
Opegrapha lithyrga var. confluens,Opegrapha vulgata
Opegrapha cinerea,Opegrapha vulgata
Opegrapha confluens,Opegrapha calcarea
Opegrapha amphotera,Opegrapha vulgata
Opegrapha devulgata,Opegrapha vulgata
Poria rancida,Postia rancida
Oligoporus rancidus,Postia rancida
Stemonitidales,Stemonitida
Collema nigrescens var. ryssoleum,Collema ryssoleum
Cordyceps chlamydosporia,Metacordyceps chlamydosporia
Polydesmus exitiosus,Sporidesmium exitiosum
Leptogium callopismum,Collema callopismum var. callopismum
Scytinium callopismum,Collema callopismum var. callopismum
Helminthosporium hyalospermum,Sporidesmiella hyalosperma var. hyalosperma
Endophragmia hyalosperma,Sporidesmiella hyalosperma var. hyalosperma
Sporidesmium hyalospermum,Sporidesmiella hyalosperma var. hyalosperma
Agaricus calyptriformis,Hygrocybe calyptriformis var. calyptriformis
Hygrophorus calyptriformis,Hygrocybe calyptriformis var. calyptriformis
Hygrophorus calyptriformis var. niveus,Hygrocybe calyptriformis var. calyptriformis
Hygrocybe calyptriformis f. calyptriformis,Hygrocybe calyptriformis var. calyptriformis
Hygrocybe calyptriformis f. nivea,Hygrocybe calyptriformis var. calyptriformis
Porpolomopsis calyptriformis,Hygrocybe calyptriformis var. calyptriformis
Humidicutis calyptriformis,Hygrocybe calyptriformis var. calyptriformis
Melanotaenium lamii,Melanotaenium jaapii
Callopisma aurantiacum var. coronatum,Flavoplaca coronata
Caloplaca coronata,Flavoplaca dichroa
Peziza crucibuliformis,Crucibulum laeve
Peziza laevis,Crucibulum laeve
Peziza lentifera,Crucibulum laeve
Cyathus crucibuliformis,Crucibulum laeve
Nidularia laevis,Crucibulum laeve
Cyathus scutellaris,Crucibulum laeve
Cyathus crucibulum,Crucibulum laeve
Nidularia crucibulum,Crucibulum laeve
Crucibulum vulgare,Crucibulum laeve
Parmelia intumescens,Lecanora intumescens
Physarum nutans var. leucophaeum,Physarum leucophaeum
Physarum nutans subsp. leucophaeum,Physarum leucophaeum
Physarum abundans var. leucophaeum,Physarum leucophaeum
Xanthoria fallax,Xanthoria ulophyllodes
Lichen oederi,Rhizocarpon oederi
Lecidea oederi,Rhizocarpon oederi
Agaricus ringens,Panellus ringens
Lentinus ringens,Panellus ringens
Panus ringens,Panellus ringens
Coccophacidium pini var. fuckelii,Therrya fuckelii
Gamundia cf. pseudoclusilis,Gamundia
Gamundia cf. striatula,Gamundia
Stachyomphalina,Gamundia
Mycena mexicana,Bolbitius mexicanus
Agaricus picaceus,Coprinopsis picacea
Coprinus picaceus,Coprinopsis picacea
Coprinus radiatus,Coprinopsis radiata
Coprinus pseudoradiatus,Coprinopsis pseudoradiata
Agaricus alutaceus,Russula olivacea
Sphaeria phaeocomoides,Pleospora phaeocomoides
Pyrenophora phaeocomoides,Pleospora phaeocomoides
Polyporus obductus,Osteina obducta
Polyporus osseus,Osteina obducta
Oligoporus obductus,Osteina obducta
Calloria eucalypti,Orbilia eucalypti
Alphitomorpha circumfusa,Golovinomyces circumfusus
Caeoma colchici,Urocystis colchici
Uredo colchici,Urocystis colchici
Polycystis colchici,Urocystis colchici
Tuburcinia colchici,Urocystis colchici
Thielavia terricola f. minor,Thielavia terricola
Chaetomium terricola,Thielavia terricola
Thielavia minor,Thielavia terricola
Labyrinthulomycota,Labyrinthista
Boletus duriusculus,Leccinum duriusculum
Krombholziella duriuscula,Leccinum duriusculum
Leccinum duriusculum f. robustum,Leccinum duriusculum
Tremella lacrymalis,Dacrymyces stillatus
Gyraria lacrymalis,Dacrymyces stillatus
Astrosporina manukanea,Inocybe manukanea
Clavaria purpurea,Alloclavaria purpurea
Collybia cycadicola,Lactocollybia cycadicola
Inocybe devoniensis,Inocybe vulpinella
Inocybe psammophila,Inocybe vulpinella
Naemaspora juglandis,Thyridaria rubronotata
Melogramma rubronotatum,Thyridaria rubronotata
Cytoplea juglandis,Thyridaria rubronotata
Lichen turneri,Ochrolechia turneri
Lecanora turneri,Ochrolechia turneri
Lecanora parella var. turneri,Ochrolechia turneri
Ochrolechia parella var. turneri,Ochrolechia turneri
Ochrolechia tartarea var. turneri,Ochrolechia turneri
Pertusaria leprarioides,Ochrolechia turneri
Phoma herbarum var. herbarum,Phoma herbarum
Phoma herbarum f. galiorum,Phoma herbarum
Phoma herbarum var. lactaria,Phoma herbarum
Acremoniella brevis,Humicola brevis
Anixiopsis,Aphanoascus
Keratinophyton,Aphanoascus
Flavoscypha cf. cantharella,Otidea
Flavoscypha cf. phlebophora,Otidea
Otidea cf. alutacea,Otidea
Otidea cf. apophysata,Otidea
Otidea cf. bufonia,Otidea
Otidea cf. cantharella,Otidea
Otidea cf. cochleata,Otidea
Otidea cf. grandis,Otidea
Otidea cf. leporina,Otidea
Otidea cf. leporina var. minor,Otidea
Otidea cf. onotica,Otidea
Otidea cf. phlebophora,Otidea
Otidea cf. smithii,Otidea
Pseudotis cf. apophysata,Otidea
Pseudotis,Otidea
Pseudostypella,Otidea
Flavoscypha,Otidea
Sparassis cf. brevipes,Sparassis
Sparassis cf. crispa,Sparassis
Sparassis cf. laminosa,Sparassis
Sparassis cf. simplex,Sparassis
Caeoma mixtum,Melampsora epitea var. reticulatae
Lecythea mixta,Melampsora epitea var. reticulatae
Lecythea saliceti,Melampsora epitea var. reticulatae
Melampsora mixta,Melampsora epitea var. reticulatae
Melampsora reticulatae,Melampsora epitea var. reticulatae
Agaricus pellitus,Pluteus pellitus
Coprinus phlyctidosporus,Coprinopsis phlyctidospora
Stereocaulon paschale,Stereocaulon vesuvianum var. vesuvianum
Stereocaulon vesuvianum var. pulvinatum,Stereocaulon vesuvianum var. nodulosum
Stereocaulon denudatum,Stereocaulon vesuvianum var. vesuvianum
Agaricus cyanescens,Panaeolus cyanescens
Copelandia cyanescens,Panaeolus cyanescens
Melanoleuca arcuata f. rubusta,Melanoleuca cognata var. cognata
Tricholoma arcuatum,Melanoleuca polioleuca
Agaricus arcuatus var. cognatus,Melanoleuca cognata var. cognata
Tricholoma cognatum,Melanoleuca cognata var. cognata
Tricholoma arcuatum f. robusta,Melanoleuca cognata var. cognata
Psalliota exserta,Agaricus benesii
Psalliota benesii,Agaricus benesii
Psalliota squamulifera,Agaricus benesii
Agaricus carolii,Agaricus benesii
Agaricus squamulifer,Agaricus benesii
Agaricus squamulifer var. caroli,Agaricus benesii
Ovularia sphaeroidea,Ramularia sphaeroidea
Lichen olivaceus,Melanohalea olivacea
Parmelia olivacea,Melanelixia glabratula
Imbricaria olivacea,Melanohalea olivacea
Melanelia olivacea,Melanohalea olivacea
Sarea pinea,Trichohelotium pineum
Phialea pinea,Trichohelotium pineum
Agaricus lanatus,Phaeomarasmius erinaceus
Agaricus aridus,Phaeomarasmius erinaceus
Agaricus erinaceus,Inocybe erinaceomorpha
Naucoria erinaceus,Phaeomarasmius erinaceus
Dryophila erinaceus,Phaeomarasmius erinaceus
Pholiota erinaceus,Phaeomarasmius erinaceus
Phaeomarasmius aridus,Phaeomarasmius erinaceus
Agaricus persicinus,Tricholoma persicinum
Godronia cassandrae var. callunae,Godronia cassandrae f. callunae
Uredo anemones,Urocystis anemones
Caeoma ranunculacearum,Urocystis anemones
Caeoma pompholygodes,Urocystis anemones
Polycystis pompholygodes,Urocystis anemones
Polycystis anemones,Urocystis anemones
Urocystis pompholygodes,Urocystis anemones
Uredo pompholygodes,Urocystis anemones
Tuburcinia anemones,Urocystis anemones
Peziza betulina,Pyrenopeziza betulina
Skeletocutis tschulymica,Skeletocutis kuehneri
Trametes cf. mollis,Datronia
Trametes cf. trogii,Datronia
Sphaeria setacea,Ophiognomonia setacea
Gnomonia setacea,Ophiognomonia setacea
Agaricus fucatus,Tricholoma fucatum
Hypochnus fuscellus,Tomentella fuscella
Alectoria tenuis,Bryoria tenuis
Agaricus mephiticus,Tephrocybe mephitica
Collybia mephitica,Tephrocybe inolens
Tephrophana mephitica,Tephrocybe mephitica
Lyophyllum mephiticum,Tephrocybe mephitica
Tichothecium marmoratum,Polycoccum marmoratum
Microthelia marmorata,Polycoccum marmoratum
Microthelia dispora f. octospora,Polycoccum marmoratum
Peziza misella,Lachnum misellum
Dasyscyphus misellus,Lachnum misellum
Fuscolachnum misellum,Lachnum misellum
Peziza viridis,Coccomyces coronatus
Ascobolus coronatus,Coccomyces coronatus
Entyloma trailii,Entyloma matricariae
Entylomella trailii,Entyloma matricariae
Periconia chlorocephala,Cladosporium chlorocephalum
Haplographium chlorocephalum,Cladosporium chlorocephalum
Graphiopsis chlorocephala,Cladosporium chlorocephalum
Cytospora intermedia,Valsa intermedia
Gloeoporus cf. dichrous,Gloeoporus
Caloporus,Gloeoporus
Lycoperdon lacunosum,Lycoperdon perlatum var. lacunosum
Sphaerella psammae,Mycosphaerella psammae
Sphaeria discospora,Coniochaeta ligniaria
Sphaeria ligniaria,Coniochaeta ligniaria
Rosellinia ligniaria,Coniochaeta ligniaria
Sordaria discospora,Coniochaeta ligniaria
Sordaria discospora var. major,Coniochaeta ligniaria
Hypocopra discospora,Coniochaeta ligniaria
Coniochaeta discospora,Coniochaeta ligniaria
Cenangium pinastri,Oncospora pinastri
Verrucaria velutinoides,Verrucaria xyloxena
Verrucaria melaenella,Verrucaria xyloxena
Corticium lembosporum,Athelopsis lembospora
Corticium confusum,Athelopsis lembospora
Luellia lembospora,Athelopsis lembospora
Agaricus senilis,Rhodocybe popinalis
Botryohypochnus cf. isabellinus,Botryohypochnus
Malustela aeria,Cochliobolus lunatus
Curvularia lunata var. aeria,Cochliobolus lunatus
Buellia simillima,Rhizocarpon simillimum
Petriellidium,Pseudallescheria
Polycytella,Pseudallescheria
Sowerbyella cf. crassisculpturata,Sowerbyella
Sowerbyella cf. radiculata var. kewensis,Sowerbyella
Cortinarius triformis,Cortinarius poecilopus
Cortinarius triformis var. fuscopallens,Cortinarius poecilopus
Cortinarius fuscopallens,Cortinarius poecilopus
Clitocybe pseudoectypa,Lepista pseudoectypa
Leptopodia ephippium,Helvella pezizoides
Leptopodia murina,Helvella pezizoides
Amanita vaginata var. flavescens,Amanita contui
Amanitopsis vaginata var. flavescens,Amanita contui
Amanita flavescens,Amanita contui
Phialea starba,Crocicreas starbaeckii
Phialea turbinata,Crocicreas starbaeckii
Cyathicula turbinata,Crocicreas starbaeckii
Cylindrophora fagi var. candida,Pseudomicrodochium candidum
Polyactis curta,Plasmopara curta
Botrytis curta,Plasmopara curta
Sphaeria enteroleuca,Diaporthe oncostoma
Sphaeria oncostoma,Diaporthe oncostoma
Valsa oncostoma,Diaporthe oncostoma
Diaporthe enteroleuca,Diaporthe oncostoma
Valsa enteroleuca,Diaporthe oncostoma
Coprinus bicornis,Coprinopsis bicornis
Magnusia bartlettii,Lophotrichus bartlettii
Collema chalazanum,Lempholemma chalazanum
Physma chalazanum,Lempholemma chalazanum
Sphaeropsis ulmi,Macrodiplodia ulmi
Boletus leucophaeus,Leccinum leucophaeum
Fusarium maculans,Mycosphaerella mori
Sphaerella mori,Mycosphaerella mori
Phloeospora maculans,Mycosphaerella mori
Lepiota eriophora,Echinoderma jacobi
Cystolepiota pseudoasperula,Echinoderma pseudoasperulum
Lepiota pseudoasperula,Echinoderma pseudoasperulum
Microsphaera magnifica,Erysiphe magnifica
Coniothele perquisita,Trimmatothele perquisita
Verrucaria perquisita,Trimmatothele perquisita
Physisporinus cf. vitreus,Physisporinus
Rigidoporus cf. vitreus,Physisporinus
Obba,Physisporinus
Agaricus geesterani,Allopsalliota geesterani
Opegrapha pseudovaria,Opegrapha xerica
Helminthosporium nanum,Dendryphion nanum
Dendryphion laxum,Dendryphion nanum
Candelospora ilicicola,Calonectria ilicicola
Cylindrocladium ilicicola,Calonectria ilicicola
Lysurus,Clathrus
Aserophallus,Clathrus
Anthurus,Clathrus
Microsphaera vanbruntiana,Erysiphe vanbruntiana var. vanbruntiana
Schizoma,Thyrea
Detonia,Plicaria
Plicariella,Plicaria
Lepraria ochracea,Caloplaca borreri
Phoma tamicola,Diaporthe scandens
Phomopsis tamicola,Diaporthe scandens
Boletus cristatus,Albatrellus cristatus
Grifola cristata,Albatrellus cristatus
Polyporus cristatus,Albatrellus cristatus
Laeticutis cristata,Albatrellus cristatus
Psathyrella gossypina,Psathyrella artemisiae var. artemisiae
Psathyrella squamosa,Psathyrella artemisiae var. artemisiae
Agaricus artemisiae,Psathyrella artemisiae var. artemisiae
Hypholoma artemisiae,Psathyrella artemisiae var. artemisiae
Dermatocarpon insulare,Verrucaria latericola
Guignardia insularis,Verrucaria latericola
Verrucaria insularis,Verrucaria latericola
Verrucaria granulosaria,Verrucaria latericola
Verrucula latericola,Verrucaria latericola
Lycoperdales,Agaricales
Schizophyllales,Agaricales
Cortinariales,Agaricales
Hydnum farinaceum,Trechispora farinacea
Odontia farinacea,Trechispora farinacea
Grandinia farinacea,Trechispora farinacea
Cristella farinacea,Trechispora farinacea
Dasyscyphus castaneicola,Dasyscyphella castaneicola
Lachnum castaneicola,Dasyscyphella castaneicola
Masonia chartarum,Microascus chartarum
Scopulariopsis chartarum,Microascus chartarum
Phoma begoniae,Ascochyta begoniae
Physisporus lacer,Junghuhnia lacera
Chaetoporus separabillimus,Junghuhnia lacera
Junghuhnia separabillima,Junghuhnia lacera
Steccherinum separabillimum,Junghuhnia lacera
Steccherinum lacerum,Junghuhnia lacera
Humaria macrospora,Peziza macrospora
Galactinia macrospora,Peziza macrospora
Poria excelsa,Ceriporia excelsa
Sphaeria naucosa,Cucurbitaria naucosa
Helotium niveum,Mniaecia nivea
Phacidium trigonum,Coccomyces tumidus
Hysterium tumidum,Coccomyces tumidus
Coccomyces coronatus var. trigonus,Coccomyces tumidus
Phacidium striatum,Coccomyces tumidus
Lophodermium tumidum,Coccomyces tumidus
Coccomyces striatus,Coccomyces tumidus
Peziza atroviolacea,Marcelleina atroviolacea
Agaricus saundersii,Entoloma sepium
Centrospora angulata,Mycocentrospora angulata
Pleurotus atrocoeruleus var. griseus,Hohenbuehelia grisea
Pleurotus griseus,Hohenbuehelia grisea
Biatorina stereocaulorum,Catillaria stereocaulorum
Lecidea stereocaulorum,Catillaria stereocaulorum
Scutula stereocaulorum,Catillaria stereocaulorum
Agaricus thraustus,Leratiomyces squamosus var. thraustus
Stropharia thrausta,Leratiomyces squamosus var. thraustus
Stropharia squamosa var. thrausta,Leratiomyces squamosus var. thraustus
Psilocybe squamosa var. thrausta,Leratiomyces squamosus var. thraustus
Inocybe oblectabilis,Inocybe glabrodisca
Peziza diluta,Dimerella pineti
Lecidea pineti,Dimerella pineti
Biatorina pineti,Dimerella pineti
Sporoblastia diluta,Dimerella pineti
Biatorina diluta,Dimerella pineti
Dimerella diluta,Dimerella pineti
Gyalecta diluta,Dimerella pineti
Belonium piceae,Dimerella pineti
Microphiale diluta,Dimerella pineti
Niptera taxi,Dimerella pineti
Cistella piceae,Dimerella pineti
Coenogonium pineti,Dimerella pineti
Agaricus elatus,Cortinarius elatior
Bacidina neosquamulosa,Bacidia neosquamulosa
Scutula lobariicola,Catillaria lobariicola
Boletus tuberculosus,Phellinus pomaceus
Boletus pomaceus,Phellinus pomaceus
Boletus pomaceus var. prunastri,Phellinus pomaceus
Fomes pomaceus,Phellinus pomaceus
Polyporus fulvus,Fomes fulvus
Fomes pomaceus var. fulvus,Phellinus pomaceus
Phellinus tuberculosus,Phellinus pomaceus
Rhodosporidium capitatum,Cystofilobasidium capitatum
Dothidea pomigena,Gloeodes pomigena
Phyllachora pomigena,Gloeodes pomigena
Marssonia mali,Gloeodes pomigena
Marssonina mali,Gloeodes pomigena
Cortinarius argentatus,Cortinarius argenteopileatus
Cortinarius kauffmanianus,Cortinarius argenteopileatus
Cortinarius subargentatus,Cortinarius argenteopileatus
Stictis fimbriata,Naemacyclus fimbriatus
Lasiostictis conigena,Naemacyclus fimbriatus
Stictis maritima,Naemacyclus fimbriatus
Stictis conigena,Naemacyclus fimbriatus
Lasiostictis fimbriata,Naemacyclus fimbriatus
Lecidea speirea,Porpidia speirea
Lichen speireus,Porpidia speirea
Lichen calcareus,Circinaria calcarea
Lecidea umbilicata,Rhizocarpon umbilicatum
Lecidea calcarea,Rhizocarpon umbilicatum
Diplotomma calcareum,Rhizocarpon umbilicatum
Rhizocarpon calcareum,Rhizocarpon umbilicatum
Lecidea rimosa,Rhizocarpon umbilicatum
Cantharellus crispus,Plicatura crispa
Merulius fagineus,Plicatura crispa
Merulius crispus,Plicatura crispa
Trogia crispa,Plicatura crispa
Plicatura faginea,Plicatura crispa
Plicaturopsis crispa,Plicatura crispa
Parmelia dubia,Punctelia borreri
Parmelia subrudecta,Punctelia jeckeri
Parmelia dubia var. foliosa,Punctelia subrudecta
Phoma cinerescens,Diaporthe cinerascens
